iteration,crossValRegressionError,A,B,C,D
0,0.8984715622744422,0.17171563303666296,-0.0003762854744911075,-0.21044334264492826,0.19947341697078394
0,0.8984701247205178,0.17171601218731897,-0.0003762854744911075,-0.21044334264492826,0.19947379612143995
0,0.8984686871688932,0.17171639133767166,-0.0003762854744911075,-0.21044334264492826,0.19947417527179265
0,0.8984672496195686,0.17171677048772105,-0.0003762854744911075,-0.21044334264492826,0.19947455442184203
0,0.8984658120725443,0.1717171496374671,-0.0003762854744911075,-0.21044334264492826,0.19947493357158808
0,0.89846437452782,0.17171752878690982,-0.0003762854744911075,-0.21044334264492826,0.1994753127210308
0,0.8984629369853958,0.17171790793604924,-0.0003762854744911075,-0.21044334264492826,0.19947569187017022
0,0.8984614994452716,0.17171828708488535,-0.0003762854744911075,-0.21044334264492826,0.19947607101900633
0,0.8984600619074474,0.1717186662334181,-0.0003762854744911075,-0.21044334264492826,0.1994764501675391
0,0.8984586243719234,0.17171904538164756,-0.0003762854744911075,-0.21044334264492826,0.19947682931576854
0,0.8984571868386995,0.1717194245295737,-0.0003762854744911075,-0.21044334264492826,0.19947720846369468
0,0.8984557493077757,0.17171980367719653,-0.0003762854744911075,-0.21044334264492826,0.1994775876113175
0,0.8984543117791517,0.17172018282451604,-0.0003762854744911075,-0.21044334264492826,0.19947796675863702
0,0.8984528742528277,0.1717205619715322,-0.0003762854744911075,-0.21044334264492826,0.1994783459056532
0,0.8984514367288041,0.17172094111824507,-0.0003762854744911075,-0.21044334264492826,0.19947872505236605
0,0.8984499992070802,0.17172132026465461,-0.0003762854744911075,-0.21044334264492826,0.1994791041987756
0,0.8984485616876567,0.17172169941076085,-0.0003762854744911075,-0.21044334264492826,0.19947948334488183
0,0.8984471241705327,0.17172207855656377,-0.0003762854744911075,-0.21044334264492826,0.19947986249068475
0,0.8984456866557093,0.17172245770206337,-0.0003762854744911075,-0.21044334264492826,0.19948024163618436
