iteration,training error,iteration time,crossValError
0,1.3296599388122559,2.9822583198547363,1.293163776397705
1,1.2952897548675537,0.4443659782409668,1.2625064849853516
2,1.2628480195999146,0.45046019554138184,1.2362538576126099
3,1.2425024509429932,0.44173121452331543,1.2116976976394653
4,1.2217357158660889,0.4617300033569336,1.1896620988845825
5,1.197804570198059,0.4900808334350586,1.1662737131118774
6,1.1667139530181885,0.45237040519714355,1.1439627408981323
7,1.1498876810073853,0.4458439350128174,1.122231364250183
8,1.1282545328140259,0.4488801956176758,1.1014399528503418
9,1.1183608770370483,0.45427656173706055,1.080930471420288
10,1.0954415798187256,0.452725887298584,1.0616278648376465
11,1.0607200860977173,0.4426250457763672,1.0425840616226196
12,1.0581133365631104,0.44947028160095215,1.0258163213729858
13,1.04080069065094,0.4399294853210449,1.009173035621643
14,1.0260450839996338,0.4510359764099121,0.9925663471221924
15,1.0048785209655762,0.4426243305206299,0.9771987199783325
16,0.9885130524635315,0.45169854164123535,0.962588369846344
17,0.9922259449958801,0.48241305351257324,0.9495670795440674
18,0.9660637378692627,0.4458649158477783,0.9369062781333923
19,0.9645444750785828,0.4417293071746826,0.9257882833480835
20,0.934624433517456,0.4514763355255127,0.914673924446106
21,0.9230795502662659,0.4613382816314697,0.9043058753013611
22,0.9111770391464233,0.46840381622314453,0.8938874006271362
23,0.9188625812530518,0.4426438808441162,0.8861116170883179
24,0.8873408436775208,0.4571692943572998,0.8773316144943237
25,0.8990402817726135,0.4684898853302002,0.8688945174217224
26,0.882071316242218,0.46985530853271484,0.8622118234634399
27,0.8788520097732544,0.45850610733032227,0.8551671504974365
28,0.8668839335441589,0.4739198684692383,0.8489641547203064
29,0.8476884365081787,0.49028873443603516,0.8433343768119812
30,0.8659714460372925,0.5013039112091064,0.8377273678779602
31,0.8357881903648376,0.46189093589782715,0.8330647945404053
32,0.8392916321754456,0.46870875358581543,0.8277787566184998
33,0.84440016746521,0.4420740604400635,0.8235577940940857
34,0.8420040607452393,0.44991540908813477,0.8210254907608032
35,0.8295146226882935,0.45647430419921875,0.8192400932312012
36,0.8328210711479187,0.45644474029541016,0.815549910068512
37,0.8167005777359009,0.4605402946472168,0.812516987323761
38,0.8144387602806091,0.4429464340209961,0.8098785281181335
39,0.8088527917861938,0.4612917900085449,0.8063479661941528
40,0.8192318081855774,0.45435261726379395,0.8057573437690735
41,0.8044530749320984,0.4762852191925049,0.8029628992080688
42,0.8165400624275208,0.499269962310791,0.8029664754867554
43,0.8110399842262268,0.45279479026794434,0.8007785081863403
44,0.8186452388763428,0.45407962799072266,0.7990202307701111
45,0.8185361623764038,0.46334338188171387,0.7986106872558594
46,0.8204397559165955,0.457993745803833,0.7992796897888184
47,0.7929201722145081,0.46512770652770996,0.7982646226882935
48,0.8040698170661926,0.4642343521118164,0.7984188199043274
49,0.8030644059181213,0.45840024948120117,0.7972730994224548
50,0.8014451861381531,0.4638667106628418,0.7971078753471375
51,0.8023728728294373,0.48813772201538086,0.7964990735054016
52,0.8025021553039551,0.46258091926574707,0.7951528429985046
53,0.792512059211731,0.4492824077606201,0.7952613234519958
54,0.8005951642990112,0.45389723777770996,0.7962967753410339
55,0.8011787533760071,0.5415761470794678,0.794314444065094
56,0.8007538318634033,0.4743623733520508,0.794079065322876
57,0.8024742603302002,0.45829105377197266,0.7930148839950562
58,0.7932413220405579,0.45334577560424805,0.7927171587944031
59,0.7950976490974426,0.4561779499053955,0.7915694713592529
60,0.8006226420402527,0.45330142974853516,0.7912707328796387
61,0.7966310381889343,0.44588708877563477,0.7927088737487793
62,0.8007317185401917,0.4526786804199219,0.7931164503097534
63,0.7912774085998535,0.44879961013793945,0.7922251224517822
64,0.7937997579574585,0.4682455062866211,0.7928104996681213
65,0.7709164619445801,0.459636926651001,0.7906031608581543
66,0.7984376549720764,0.45031261444091797,0.7900218367576599
67,0.7969589829444885,0.46270227432250977,0.7897537350654602
68,0.7983480095863342,0.49381041526794434,0.7883232235908508
69,0.7920453548431396,0.44997620582580566,0.7889333367347717
70,0.7894668579101562,0.4470648765563965,0.7893508672714233
71,0.7910746932029724,0.4679758548736572,0.7871739268302917
72,0.7805705070495605,0.45783042907714844,0.7867581844329834
73,0.780161440372467,0.44719481468200684,0.7866461873054504
74,0.7963715195655823,0.44591665267944336,0.7855224013328552
75,0.7745130658149719,0.4506204128265381,0.7856529951095581
76,0.7799757122993469,0.4685370922088623,0.7881677746772766
77,0.7773123979568481,0.45746278762817383,0.7894780039787292
78,0.7899739146232605,0.4501786231994629,0.7866172194480896
79,0.7826570272445679,0.45006656646728516,0.7850013971328735
80,0.7802766561508179,0.4716823101043701,0.7831344604492188
81,0.8005380034446716,0.44135093688964844,0.782106876373291
82,0.7946521639823914,0.4452996253967285,0.7811160087585449
83,0.782660722732544,0.4633965492248535,0.7818742990493774
84,0.7894357442855835,0.43135547637939453,0.781724214553833
85,0.7909023761749268,0.4402632713317871,0.7798831462860107
86,0.7978324890136719,0.4499325752258301,0.7799018025398254
87,0.7980802059173584,0.45751452445983887,0.7815648913383484
88,0.7732688188552856,0.4598371982574463,0.7806493639945984
89,0.7921109795570374,0.4591946601867676,0.7806853652000427
90,0.7828891277313232,0.4413621425628662,0.7818034291267395
91,0.7708690166473389,0.4519917964935303,0.7821559906005859
92,0.7882523536682129,0.5002613067626953,0.7819415330886841
93,0.7742371559143066,0.46630334854125977,0.7826292514801025
94,0.781075119972229,0.45096611976623535,0.7802191376686096
95,0.776530921459198,0.4459574222564697,0.7810878157615662
96,0.7693985104560852,0.4519188404083252,0.7799385190010071
97,0.7882036566734314,0.4483985900878906,0.7804227471351624
98,0.7904484272003174,0.4494445323944092,0.7780882120132446
99,0.7694804668426514,0.4473905563354492,0.7775036692619324
100,0.7765144109725952,0.4499177932739258,0.7788088917732239
101,0.7859630584716797,0.4385795593261719,0.7768170237541199
102,0.7801766991615295,0.45157957077026367,0.7786663770675659
103,0.7906404137611389,0.4486668109893799,0.7770315408706665
104,0.7834697961807251,0.45162510871887207,0.7787198424339294
105,0.7706032395362854,0.47838425636291504,0.7783973813056946
106,0.7618407607078552,0.4496338367462158,0.7770056128501892
107,0.7724058032035828,0.44246411323547363,0.7760173082351685
108,0.7802796363830566,0.4444460868835449,0.7750119566917419
109,0.7967276573181152,0.44772934913635254,0.7742278575897217
110,0.7669802308082581,0.44109630584716797,0.7726859450340271
111,0.7760692834854126,0.43727946281433105,0.7738243341445923
112,0.7796350717544556,0.44674110412597656,0.7736510634422302
113,0.7617773413658142,0.44883108139038086,0.7719832062721252
114,0.7646125555038452,0.4614064693450928,0.7724209427833557
115,0.7756840586662292,0.4485046863555908,0.7715983390808105
116,0.7612613439559937,0.4444127082824707,0.7723962664604187
117,0.772830605506897,0.45006895065307617,0.7728843092918396
118,0.746520459651947,0.48145246505737305,0.7744235396385193
119,0.7764066457748413,0.44861793518066406,0.7759016156196594
120,0.7656797170639038,0.45766425132751465,0.7739731669425964
121,0.7726486325263977,0.44994258880615234,0.7709588408470154
122,0.7841058373451233,0.45109105110168457,0.7696743011474609
123,0.7849891185760498,0.4497809410095215,0.7703070640563965
124,0.7799515724182129,0.45849013328552246,0.7694123983383179
125,0.7727154493331909,0.4517815113067627,0.7687634229660034
126,0.7793235778808594,0.44124531745910645,0.7671154737472534
127,0.7849085330963135,0.4465219974517822,0.7668817043304443
128,0.7882445454597473,0.4500088691711426,0.7683903574943542
129,0.7605457901954651,0.44580960273742676,0.7683519124984741
130,0.7833380699157715,0.48326539993286133,0.7674670219421387
131,0.7808536291122437,0.4503304958343506,0.7690653204917908
132,0.7594718933105469,0.4463937282562256,0.768385648727417
133,0.7635238766670227,0.4466843605041504,0.7695367336273193
134,0.7583252787590027,0.4599285125732422,0.7702587246894836
135,0.7788034081459045,0.4692192077636719,0.7674686312675476
136,0.7516850829124451,0.44292521476745605,0.7687596678733826
137,0.7626031637191772,0.4481220245361328,0.7687192559242249
138,0.768584132194519,0.44116997718811035,0.7690712809562683
139,0.7820945978164673,0.4462559223175049,0.7668647766113281
140,0.7663756608963013,0.46216344833374023,0.7658641338348389
141,0.7578179240226746,0.46030521392822266,0.7675530314445496
142,0.7718702554702759,0.4941282272338867,0.7653887867927551
143,0.7714879512786865,0.4521026611328125,0.7677471041679382
144,0.7774205207824707,0.4542407989501953,0.7666779160499573
145,0.767516016960144,0.46288156509399414,0.767119288444519
146,0.7683776021003723,0.4499990940093994,0.7675307989120483
147,0.7485391497612,0.4451892375946045,0.7666290402412415
148,0.7556774020195007,0.45024585723876953,0.7639009356498718
149,0.7743498086929321,0.4516158103942871,0.764421820640564
150,0.778266429901123,0.45213842391967773,0.7645105123519897
151,0.7576861381530762,0.4446723461151123,0.7620648145675659
152,0.7624598741531372,0.438399076461792,0.7630935907363892
153,0.778605580329895,0.460644006729126,0.7625863552093506
154,0.7562547922134399,0.5101451873779297,0.7607051134109497
155,0.7449761033058167,0.4408721923828125,0.7619427442550659
156,0.7732231616973877,0.4495110511779785,0.7609895467758179
157,0.7519946098327637,0.49111413955688477,0.7617484331130981
158,0.7513362765312195,0.4554111957550049,0.7635116577148438
159,0.7396162152290344,0.442185640335083,0.7649829983711243
160,0.7576521039009094,0.4549996852874756,0.7626906037330627
161,0.754285454750061,0.4483964443206787,0.7629666924476624
162,0.7649583220481873,0.4499979019165039,0.7603973150253296
163,0.7634092569351196,0.45739173889160156,0.758815586566925
164,0.7827613353729248,0.45432186126708984,0.7572774291038513
165,0.7606086134910583,0.45958566665649414,0.7585492730140686
166,0.7702018618583679,0.46006202697753906,0.7576184868812561
167,0.7635971903800964,0.48217225074768066,0.7561673521995544
168,0.7844669818878174,0.44277095794677734,0.755657434463501
169,0.7818599939346313,0.45165562629699707,0.7572253346443176
170,0.7542809247970581,0.4443173408508301,0.7561081051826477
171,0.7677982449531555,0.45153188705444336,0.7557336688041687
172,0.7707208395004272,0.45107483863830566,0.7577201128005981
173,0.7583675384521484,0.46556878089904785,0.7570062279701233
174,0.7441092133522034,0.45144200325012207,0.7579304575920105
175,0.7348207235336304,0.44986605644226074,0.7596364617347717
176,0.7923813462257385,0.4900062084197998,0.7566196322441101
177,0.734113335609436,0.4596898555755615,0.7592116594314575
178,0.7546871304512024,0.45014405250549316,0.7580225467681885
179,0.7432386875152588,0.46103978157043457,0.7570230960845947
180,0.7773464322090149,0.4545896053314209,0.7559692859649658
181,0.7662270069122314,0.49458742141723633,0.7559999227523804
182,0.7427160143852234,0.4905824661254883,0.7558997869491577
183,0.7596315145492554,0.44492101669311523,0.7556293606758118
184,0.7662797570228577,0.438737154006958,0.757310152053833
185,0.76390540599823,0.4403352737426758,0.7560608386993408
186,0.7563279867172241,0.4414243698120117,0.7579729557037354
187,0.7629862427711487,0.4499826431274414,0.7558513879776001
188,0.7419615387916565,0.44065141677856445,0.7567852735519409
189,0.7361758351325989,0.45000314712524414,0.7539964914321899
190,0.7806722521781921,0.44733142852783203,0.7535999417304993
191,0.7643290758132935,0.45749950408935547,0.7544428110122681
192,0.7472875118255615,0.44864821434020996,0.7533553242683411
193,0.7467505931854248,0.4400639533996582,0.7527596354484558
194,0.7726762890815735,0.48000097274780273,0.7517601251602173
195,0.7475999593734741,0.4456026554107666,0.7509968280792236
196,0.7459551095962524,0.4415748119354248,0.7512570023536682
197,0.7471285462379456,0.45934271812438965,0.7503716349601746
198,0.7463142275810242,0.4701662063598633,0.75026535987854
199,0.7343207597732544,0.48835134506225586,0.7524240016937256
200,0.731799840927124,0.4544241428375244,0.752617359161377
201,0.7499943375587463,0.4691197872161865,0.7537964582443237
202,0.7491438984870911,0.47008490562438965,0.7518876791000366
203,0.7516233325004578,0.44550609588623047,0.7500873804092407
204,0.755215048789978,0.4806675910949707,0.7478082180023193
205,0.7778735160827637,0.5593116283416748,0.7486594319343567
